"product_category","total_revenue","total_sold"
health_beauty,1233131.72,9465
watches_gifts,1166176.98,5859
bed_bath_table,1023434.76,10953
sports_leisure,954852.55,8431
computers_accessories,888724.61,7644
furniture_decor,711927.69,8160
housewares,615628.69,6795
cool_stuff,610204.1,3718
auto,578966.65,4140
toys,471286.48,4030
